method,modality,dataset,seed,samples,dice_mean,iou_mean,nsd_mean,hd95_finite_mean,assd_finite_mean,one_empty_failure_rate,source
RollingUNet,image-only,medclipseg_clinicdb,123,61,0.875289,0.806199,0.515296,21.239932,5.127637,0.016393,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_clinicdb/seed123/controls/true/summary.csv
RollingUNet,image-only,medclipseg_clinicdb,456,61,0.879423,0.806751,0.508762,23.322842,5.395940,0.000000,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_clinicdb/seed456/controls/true/summary.csv
RollingUNet,image-only,medclipseg_clinicdb,789,61,0.864561,0.790705,0.472289,19.818086,5.041240,0.016393,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_clinicdb/seed789/controls/true/summary.csv
RollingUNet,image-only,medclipseg_busbra,123,282,0.877254,0.798167,0.493861,20.164804,5.917412,0.000000,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busbra/seed123/controls/true/summary.csv
RollingUNet,image-only,medclipseg_busbra,456,282,0.885288,0.808941,0.518023,18.442103,5.305939,0.000000,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busbra/seed456/controls/true/summary.csv
RollingUNet,image-only,medclipseg_busbra,789,282,0.877584,0.800816,0.508170,17.530327,5.319838,0.003546,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busbra/seed789/controls/true/summary.csv
RollingUNet,image-only,medclipseg_brisc,123,892,0.847608,0.775813,0.641178,13.865511,4.714388,0.019058,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_brisc/seed123/controls/true/summary.csv
RollingUNet,image-only,medclipseg_brisc,456,892,0.845631,0.774505,0.643543,13.542142,4.893351,0.017937,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_brisc/seed456/controls/true/summary.csv
RollingUNet,image-only,medclipseg_brisc,789,892,0.857722,0.785508,0.654596,13.406458,4.405817,0.012332,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_brisc/seed789/controls/true/summary.csv
RollingUNet,image-only,medclipseg_covid19,123,2113,0.790619,0.694737,0.660621,29.486413,6.945731,0.000947,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_covid19/seed123/controls/true/summary.csv
