method,modality,dataset,seed,test_n,nonempty_n,empty_n,overall_dice,nonempty_dice,nonempty_iou,empty_specificity,empty_false_positive_rate,nonempty_empty_prediction_rate,source
MedEquiSeg,image+text,medclipseg_covid19,789,2113,2113,0,0.8400154472314245,0.8400154472314245,0.7541388618078562,,,0.000946521533364884,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_covid19/seed789/controls/true/per_case.csv
MedEquiSeg,image+text,busi_hf,123,102,102,0,0.8586482941176471,0.8586482941176471,0.7771561078431373,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_R11/busi_hf/seed123/controls/true/per_case.csv
MedEquiSeg,image+text,busi_hf,456,102,102,0,0.8585633333333333,0.8585633333333333,0.775508362745098,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_R11/busi_hf/seed456/controls/true/per_case.csv
MedEquiSeg,image+text,busi_hf,789,102,102,0,0.8525041470588235,0.8525041470588235,0.7718237745098039,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_R11/busi_hf/seed789/controls/true/per_case.csv
RollingUNet,image-only,medclipseg_busi,123,78,65,13,0.7145929230769231,0.7652038153846153,0.6739662,0.46153846153846156,0.5384615384615384,0.0,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busi/seed123/controls/true/per_case.csv
RollingUNet,image-only,medclipseg_busi,456,78,65,13,0.7371539358974359,0.7461231846153846,0.6617444153846154,0.6923076923076923,0.3076923076923077,0.0,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busi/seed456/controls/true/per_case.csv
RollingUNet,image-only,medclipseg_busi,789,78,65,13,0.7189967564102564,0.7551038,0.668101323076923,0.5384615384615384,0.46153846153846156,0.0,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busi/seed789/controls/true/per_case.csv
RollingUNet,image-only,medclipseg_clinicdb,123,61,61,0,0.8752886721311476,0.8752886721311476,0.8061985901639345,,,0.01639344262295082,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_clinicdb/seed123/controls/true/per_case.csv
RollingUNet,image-only,medclipseg_clinicdb,456,61,61,0,0.8794230491803279,0.8794230491803279,0.8067510983606557,,,0.0,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_clinicdb/seed456/controls/true/per_case.csv
RollingUNet,image-only,medclipseg_clinicdb,789,61,61,0,0.8645611147540984,0.8645611147540984,0.7907046065573771,,,0.01639344262295082,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_clinicdb/seed789/controls/true/per_case.csv
RollingUNet,image-only,medclipseg_busbra,123,282,282,0,0.8772537872340426,0.8772537872340426,0.7981668368794326,,,0.0,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_busbra/seed123/controls/true/per_case.csv
